X,Z
-109.27270551655401,-182.62511222587514
-109.46068354975468,-183.55669485245264
-109.617720735155,-184.48942960698076
-109.7648447730734,-185.4579340270331
-109.88224534540394,-186.37933549001346
-110.00202445413618,-187.32399773067442
-110.18098753372912,-188.25722914661768
-110.32701645135428,-189.1690418882022
-110.47642650264548,-190.09939052912492
-110.60910760118037,-191.0223550461035
-110.7035304626555,-191.94983729662817
-110.83793170758543,-192.87266632509662
-110.93007235990915,-193.82043268780487
-111.03247148096317,-194.76512001808837
-111.14626367908198,-195.6954695846916
-111.26142657189897,-196.64013986729245
-111.36889583872596,-197.5773395545937
-111.50038357856207,-198.5066401202321
-111.57827233783635,-199.45603894337316
-111.6827587522691,-200.39601111136363
-111.78966871629635,-201.3439871359771
-111.88374340340356,-202.2823185377855
-112.01971430337849,-203.2231516079932
-112.12901323505058,-204.15304087109868
-112.34830736364303,-205.0556454625425
-112.4536617520725,-205.9905659410371
-112.59080488351447,-206.90848728070983
-112.6625530358583,-207.8591480872842
-112.79643962572376,-208.8174792351123
-112.85090802251794,-209.77940415532842
-112.96485202270479,-210.73767566450442
-113.06131347182286,-211.66610511658894
-113.26595428750386,-212.54143749265856
-113.32676149625807,-213.4930521712052
-113.35517843073814,-214.47071578175402
-113.46834148953482,-215.36053603071386
-113.58865975781946,-216.3029940965659
-113.65575570688841,-217.20639996825645
-113.76687026772498,-218.12995852279332
-113.81419533733799,-219.07347459087657
-113.8874673925314,-220.03633304745532
-114.0075949341041,-220.97421573326267
-114.09118791893272,-221.93615802190632
-114.1117004921071,-222.85722333091897
-114.1389678386242,-223.8005892477803
-114.174326322422,-224.75468213113362
-114.23567721534104,-225.69534878865144
-114.34470166042315,-226.63022429073695
-114.41333903162314,-227.58139730315096
-114.46016340042875,-228.546056014645
-114.54875518392116,-229.47640561726354
-114.59761135364474,-230.3824452634155
-114.64617136581472,-231.3082477754996
-114.71824345878562,-232.2526978990378
-114.79568144809316,-233.15539674643193
-114.80998408919012,-234.0969736900018
-114.89687327211922,-235.02289044424896
-114.94381379556111,-235.9444886082818
-115.0034182438248,-236.87084290665177
-115.04520647231634,-237.81029939426574
-115.0926894211971,-238.72274660140343
-115.10891779599038,-239.68213625993138
-115.12211989295646,-240.61225464624977
-115.00459316615746,-241.53477442577238
-115.04403194219817,-242.46613608068202
-115.07475160555623,-243.39516692888006
-115.10056392568517,-244.30808562752424
-115.11893492164666,-245.23921311078976
-115.17257210258776,-246.1467416344023
-115.18566623355649,-247.06711987752738
-115.20221540409223,-248.00229303872746
-115.23981400819659,-248.92486273836383
-115.25091211537439,-249.86378191176496
-115.28243095223071,-250.79541787005823
-115.22447580996445,-251.7461443694165
-115.2642096447428,-252.65828454975562
-115.23808123583646,-253.55943001312698
-115.25471181506485,-254.47967663147944
-115.29545083845547,-255.38123332810363
-115.44339393935199,-256.2548463743034
-115.31733815203542,-257.1817285975224
-115.18295526319532,-258.1068195731744
-115.09636030674375,-259.01667433635276
-115.09275334880716,-259.93414391321534
-114.82598843779583,-260.8366237979037
-114.86038746353978,-261.7583197581933
-114.88425686118947,-262.67958301749684
-115.04073292063687,-263.5897985130675
-114.91685138518785,-264.48118364870186
-115.01240679783233,-265.37518119763547
-114.76570645425878,-266.2819262717032
-114.42304345921629,-267.17698919285414
-114.42641556031889,-268.0800257017863
-114.45790193567217,-268.9889708623368
-114.48883278635927,-269.92283323804025
-114.44477709753058,-270.81278112790625
-114.312231751879,-271.78491067878997
