
=== slam_core logger abierto ===
16:09:16 | SlamRunner | INFO | DIAG {"frame_idx": 9, "frame_dt_ms": 86.22145652770996, "fps_inst": 11.59804114047434, "fps_avg": 15.987800909881509, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 1.0, "inliers": 0, "inlier_ratio": 0.0, "trans_mag": 0.0, "total_distance": 0.9995628151131876, "ekf_yaw": -0.0020063621815906707, "ekf_bias": 2.116376295859994e-05, "ekf_update": 0, "imu_rate": 71.88058473719389, "imu_var": 0.0001491363392009046, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 0, "vo_fail_count": 9, "vo_reboot": 0, "reason": "E01_low_matches_or_parallax", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": -0.49889611800614486, "bandit_Q": -0.3418844291169293, "bandit_N": 11, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 1, "arm_changed": 0, "orb_changed": 0}
16:09:16 | SlamRunner | DEBUG | [10] Keyframe agregado. trans=0.950
16:09:16 | SlamRunner | INFO | DIAG {"frame_idx": 10, "frame_dt_ms": 59.82685089111328, "fps_inst": 16.714902842204264, "fps_avg": 16.278641682810612, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 1.6970479488372803, "inliers": 528, "inlier_ratio": 0.8198757763975155, "trans_mag": 0.9504222648029264, "total_distance": 1.949985079916114, "ekf_yaw": -0.0021157266617937154, "ekf_bias": 2.116376295859994e-05, "ekf_update": 1, "imu_rate": 74.45358869124632, "imu_var": 0.0001360103324359313, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 1, "vo_fail_count": 0, "vo_reboot": 0, "reason": "", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": 0.14651467391618223, "bandit_Q": -0.30118450386417, "bandit_N": 12, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 1, "arm_changed": 0, "orb_changed": 0}
16:09:16 | IMUReader | INFO | Tasa=71.9 Hz, Var|gyro|=0.000134, bias_ready=True
16:09:16 | SlamRunner | DEBUG | [2] E01_low_matches_or_parallax: matches=800, parallax=0.00px
16:09:16 | SlamRunner | INFO | DIAG {"frame_idx": 2, "frame_dt_ms": 59.09609794616699, "fps_inst": 16.92159101453602, "fps_avg": 16.535821415500777, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 0.0, "inliers": 0, "inlier_ratio": 0.0, "trans_mag": 0.0, "total_distance": 1.949985079916114, "ekf_yaw": -0.00225465386414081, "ekf_bias": 2.116376295859994e-05, "ekf_update": 0, "imu_rate": 72.35669664761414, "imu_var": 0.00012702510933185044, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 0, "vo_fail_count": 1, "vo_reboot": 0, "reason": "E01_low_matches_or_parallax", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": -0.1767426630419089, "bandit_Q": -0.29161205457014994, "bandit_N": 13, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 0, "arm_changed": 0, "orb_changed": 0}
16:09:16 | SlamRunner | DEBUG | [3] E01_low_matches_or_parallax: matches=800, parallax=0.00px
16:09:16 | SlamRunner | INFO | DIAG {"frame_idx": 3, "frame_dt_ms": 59.149980545043945, "fps_inst": 16.906176312914916, "fps_avg": 16.68396337446643, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 0.0, "inliers": 0, "inlier_ratio": 0.0, "trans_mag": 0.0, "total_distance": 1.949985079916114, "ekf_yaw": -0.0027437375782235485, "ekf_bias": 2.116376295859994e-05, "ekf_update": 0, "imu_rate": 74.07329744017933, "imu_var": 0.00012474137183580007, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 0, "vo_fail_count": 2, "vo_reboot": 0, "reason": "E01_low_matches_or_parallax", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": -0.33837133152095444, "bandit_Q": -0.2949520029237788, "bandit_N": 14, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 0, "arm_changed": 0, "orb_changed": 0}
16:09:16 | SlamRunner | DEBUG | [4] E01_low_matches_or_parallax: matches=800, parallax=0.00px
16:09:16 | SlamRunner | INFO | DIAG {"frame_idx": 4, "frame_dt_ms": 50.23813247680664, "fps_inst": 19.90519851552341, "fps_avg": 17.97245743088922, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 0.0, "inliers": 0, "inlier_ratio": 0.0, "trans_mag": 0.0, "total_distance": 1.949985079916114, "ekf_yaw": -0.0029261333284198443, "ekf_bias": 2.116376295859994e-05, "ekf_update": 0, "imu_rate": 74.222149060716, "imu_var": 0.00010868859156653556, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 0, "vo_fail_count": 3, "vo_reboot": 0, "reason": "E01_low_matches_or_parallax", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": -0.4191856657604772, "bandit_Q": -0.30323424711289204, "bandit_N": 15, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 1, "arm_changed": 0, "orb_changed": 0}
